ITEM,LENGTH,COLOR,TYPE,PRICE,STOCK
BARBARA,,1,,32,63
BARBARA,,001B,,14,63
BARBARA,,2,,10,63
BARBARA,,4,,30,63
BARBARA,,HL2_27S,,23,63
BARBARA,,HL2_350,,16,63
BARBARA,,HL2_613,,11,63
BARBARA,,HL2_BG,,13,63
BARBARA,,HL4_27,,9,63
BARBARA,,TTL1B_30,,6,63
BARBARA,,TTL1B_33,,33,63
