PRODUCT_CODE,ITEM,LENGTH,COLOR,TYPE,PRICE,STOCK,MPRICE,WPRICE,RPRICE
AARU,AARU,10,20,30,40,50,60,70,80
BARU,BARU,10,20,30,40,50,60,70,80
HARU,HARU,,1,,20,20,22,,
HELEN,,10,,2.08E+13,21,9,,,
HELEN,,F4-30,,2.08E+13,21,85,,,
HELEN,,P1B-BG,,2.08E+13,21,12,,,
HELEN,,P1B-BG,,2.08E+13,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,
HELEN,,T1B-30,,2.08E+13,,,,,
HELEN,1,T1B-30,21,2.08E+13,12,,,,
HELEN,001B,T1B-30,21,2.08E+13,9,1,,,
HELEN,2,T1B-30,21,2.08E+13,0,1,,,
HELEN,4,T1B-30,21,2.08E+13,0,1,,,
HELEN,34,T1B-30,21,2.08E+13,6,1,,,
HELEN,44,T1B-30,21,2.08E+13,8,1,,,
HELEN,51,T1B-30,21,2.08E+13,6,1,,,
HELEN,280,T1B-30,21,2.08E+13,5,1,,,
HELEN,F1B-27S,T1B-30,21,2.08E+13,14,1,,,
HELEN,F1B-30,T1B-30,21,2.08E+13,13,1,,,
HELEN,F1B-33,T1B-30,21,2.08E+13,13,1,,,
HELEN,F237,T1B-30,21,2.08E+13,8,1,,,
JANE H,JANE H,,1,Inch,34,34,0,,
JENIF H,,,,,,,,,
JULIE H,,,,,,,,,
JULIE H II,JULIE H II,10,1,Inch,51,51,8,,
KASSIA,KASSIA,,1,Inch,66,66,18,,
LACE-001,LACE-001,,1,Inch,350,350,6,,
LACE-002,LACE-002,,1,Inch,350,350,17,,
LACE-004,LACE-004,,1,Inch,150,150,2,,
LACE-006,LACE-006,,1,Inch,150,150,0,,
test111,test,,2,,100,100,,,
LACE-007,LACE-007,,1,Inch,190,190,9,,
LACE-008,LACE-008,,1,Inch,150,150,4,,
LACE-009,LACE-009,,1,Inch,150,150,4,,
LACE-010,LACE-010,,1,Inch,70,70,55,,
LACE-011,LACE-011,,1,Inch,80,80,1,,
LINSEY,LINSEY,,1,Inch,21,21,10,,
LISA,LISA,,1,Inch,35,35,1,,
MARU,MARU,,1,Inch,20,20,-1,,
shop_1,shop_ab,,4,Inch,100,80,,,
ESTHER11,ESTHER,,TT1B-BG,,100,54,,,
ESTHER1,ESTHER1,,TT1B-BG,,100,100,54,,
ESTHER120,ESTHER120,,F4-30,,100,100,80,,
ESTHER123,ESTHER123,,F4-30,,100,100,80,,
ESTHER115,ESTHER115,,TT1B-BG,,0,0,25,,
ESTHER118,ESTHER118,,F4-30,,0,0,80,,
STB18,,,,,,,,,
STW18 ,,,,Inch,,,,,
hh,,,,Inch,,,,,
STW16 ,,,,Inch,,,,,
STW14 ,,,,Inch,,,,,
STW12 ,,,,Inch,,,,,
STW10 ,STW,10,4,,35,23,17.5,17.5,52.5
STW10 ,STW,10,27,,49,28,24.5,24.5,73.5
STW10 ,STW,10,30,,35,6,17.5,17.5,52.5
STW10 ,STW,10,33,,35,20,17.5,17.5,52.5
STW10 ,STW,10,44,,39,6,19.5,19.5,58.5
STW10 ,STW,10,350,,49,20,24.5,24.5,73.5
STW10 ,STW,10,613,,75,8,37.5,37.5,112.5
STW10 ,STW,10,99J,,49,3,24.5,24.5,73.5
STW10 ,STW,10,BLUE,,75,60,37.5,37.5,112.5
STW10 ,STW,10,BURG,,49,2,24.5,24.5,73.5
STW10 ,STW,10,GREEN,,75,53,37.5,37.5,112.5
STW10 ,STW,10,ORANGE,,75,50,37.5,37.5,112.5
STW10 ,STW,10,P1B_30,,39,19,19.5,19.5,58.5
STW10 ,STW,10,P1B_350,,49,8,24.5,24.5,73.5
STW10 ,STW,10,P1B_99J,,49,11,24.5,24.5,73.5
STW10 ,STW,10,P1B_BG,,49,12,24.5,24.5,73.5
STW10 ,STW,10,P27_30,,49,12,24.5,24.5,73.5
STW10 ,STW,10,P27_33,,49,15,24.5,24.5,73.5
STW10 ,STW,10,P27_613,,105,16,52.5,52.5,157.5
STW10 ,STW,10,P4_27,,49,12,24.5,24.5,73.5
STW10 ,STW,10,P4_30,,39,35,19.5,19.5,58.5
STW10 ,STW,10,PINK,,75,48,37.5,37.5,112.5
STW10 ,STW,10,PURPLE,,75,48,37.5,37.5,112.5
STW10 ,STW,10,RED,,75,67,37.5,37.5,112.5
STW10 ,STW,12,1,,50,61,25,25,75
STW10 ,STW,12,27,,64,15,32,32,96
STW10 ,STW,12,30,,50,12,25,25,75
STW10 ,STW,12,33,,50,17,25,25,75
STW10 ,STW,12,350,,64,16,32,32,96
STW10 ,STW,12,613,,90,9,45,45,135
STW10 ,STW,12,001B,,50,26,25,25,75
STW10 ,STW,12,99J,,64,18,32,32,96
STW10 ,STW,12,BURG,,64,24,32,32,96
STW10 ,STW,12,P1B_30,,54,10,27,27,81
STW10 ,STW,12,P1B_33,,54,14,27,27,81
STW10 ,STW,12,P1B_350,,64,11,32,32,96
STW10 ,STW,12,P1B_99J,,64,17,32,32,96
STW10 ,STW,12,P1B_BG,,64,12,32,32,96
STW10 ,STW,12,P27_30,,64,14,32,32,96
STW10 ,STW,12,P27_33,,64,10,32,32,96
STW10 ,STW,12,P27_613,,120,33,60,60,180
STW10 ,STW,12,P4_27,,64,24,32,32,96
STW10 ,STW,12,P4_30,,54,12,27,27,81
STW10 ,STW,14,1,,64,121,32,32,96
STW10 ,STW,14,2,,64,5,32,32,96
STW10 ,STW,14,4,,64,5,32,32,96
STW10 ,STW,14,22,,104,143,52,52,156
STW10 ,STW,14,27,,78,12,39,39,117
STW10 ,STW,14,30,,64,13,32,32,96
STW10 ,STW,14,33,,64,2,32,32,96
STW10 ,STW,14,350,,78,18,39,39,117
STW10 ,STW,14,613,,104,20,52,52,156
STW10 ,STW,14,001B,,64,92,32,32,96
STW10 ,STW,14,99J,,78,4,39,39,117
STW10 ,STW,14,P18_22,,104,72,52,52,156
STW10 ,STW,14,P18_613,,104,17,52,52,156
STW10 ,STW,14,P1B_30,,68,7,34,34,102
STW10 ,STW,14,P1B_33,,68,2,34,34,102
STW10 ,STW,14,P1B_BG,,78,2,39,39,117
STW10 ,STW,14,P24_613,,104,80,52,52,156
STW10 ,STW,14,P27_24,,104,135,52,52,156
STW10 ,STW,14,P27_33,,78,2,39,39,117
STW10 ,STW,14,P27_613,,134,107,67,67,201
STW10 ,STW,14,P4_613,,104,153,52,52,156
STW10 ,STW,14,P6_24,,104,30,52,52,156
STW10 ,STW,14,P6_27,,78,96,39,39,117
STW10 ,STW,14,P6_613,,104,57,52,52,156
STW10 ,STW,16,1,,74,26,37,37,111
STW10 ,STW,16,2,,74,77,37,37,111
STW10 ,STW,16,4,,74,8,37,37,111
STW10 ,STW,16,22,,124,20,62,62,186
STW10 ,STW,16,350,,98,30,49,49,147
STW10 ,STW,16,001B,,74,20,37,37,111
STW10 ,STW,16,P1B_30,,78,16,39,39,117
STW10 ,STW,16,P1B_33,,78,17,39,39,117
STW10 ,STW,16,P1B_BG,,98,16,49,49,147
STW10 ,STW,16,P27_24,,124,6,62,62,186
STW10 ,STW,16,P27_30,,98,2,49,49,147
STW10 ,STW,16,P27_33,,98,4,49,49,147
STW10 ,STW,16,P4_30,,78,3,39,39,117
STW10 ,STW,16,P4_613,,124,68,62,62,186
STW10 ,STW,18,4,,88,2,44,44,132
STW10 ,STW,18,30,,88,10,44,44,132
STW10 ,STW,18,350,,112,15,56,56,168
STW10 ,STW,18,P18_22,,138,5,69,69,207
STW10 ,STW,18,P1B_30,,92,18,46,46,138
STW10 ,STW,18,P1B_33,,92,12,46,46,138
STW10 ,STW,18,P1B_BG,,112,4,56,56,168
STW10 ,STW,18,P27_24,,138,7,69,69,207
STW10 ,STW,18,P27_33,,112,6,56,56,168
STW10 ,STW,18,P6_27,,112,4,56,56,168
STW10 ,STW,28A,1,,200,36,100,100,300
NSW18 ,,,,Inch,,,,,
STUNNING LADY ,,,,Inch,,,,,
GRACEFUL LADY ,,,,Inch,,,,,
INTELLI LADY ,,,,Inch,,,,,
ELEGANT LADY ,,,,Inch,,,,,
S YK18 ,,,,Inch,,,,,
S YK12 ,,,,Inch,,,,,
NEW D WAVE,,,,Inch,,,,,
DISCO L,,,,Inch,,,,,
